[2016-07-26 08:52:07,011][clinicSoft][INFO][2364][[OK] log4py]
[2016-07-26 08:52:08,014][clinicSoft][INFO][2364][## iniciando servidor clinicSoft  ##]
[2016-07-26 08:52:09,933][clinicSoft][INFO][3508][[OK] log4py]
[2016-07-26 08:52:10,015][clinicSoft][INFO][3508][## iniciando servidor clinicSoft  ##]
[2016-07-26 08:54:11,122][clinicSoft][INFO][3508][## do_before_request ##]
[2016-07-26 08:54:11,123][clinicSoft][INFO][3508][La expresion fallo o es un path sin configuracion, se deja continuar...]
[2016-07-26 08:54:11,124][clinicSoft][ERROR][3508][## page_not_found ##]
[2016-07-26 08:54:11,124][clinicSoft][INFO][3508][## do_after_request ##]
[2016-07-26 08:54:20,433][clinicSoft][INFO][3508][## do_before_request ##]
[2016-07-26 08:54:20,434][clinicSoft][INFO][3508][La expresion fallo o es un path sin configuracion, se deja continuar...]
[2016-07-26 08:54:20,435][clinicSoft][ERROR][3508][## page_not_found ##]
[2016-07-26 08:54:20,435][clinicSoft][INFO][3508][## do_after_request ##]
[2016-07-26 08:54:20,463][clinicSoft][INFO][3508][## do_before_request ##]
[2016-07-26 08:54:20,463][clinicSoft][INFO][3508][La expresion fallo o es un path sin configuracion, se deja continuar...]
[2016-07-26 08:54:20,464][clinicSoft][ERROR][3508][## page_not_found ##]
[2016-07-26 08:54:20,464][clinicSoft][INFO][3508][## do_after_request ##]
[2016-07-26 08:54:42,504][clinicSoft][INFO][3508][## do_before_request ##]
[2016-07-26 08:54:42,505][clinicSoft][INFO][3508][La expresion fallo o es un path sin configuracion, se deja continuar...]
[2016-07-26 08:54:42,505][clinicSoft][INFO][3508][## login_view  ##]
[2016-07-26 08:54:42,505][clinicSoft][INFO][3508][user-> root@gmail.com]
[2016-07-26 08:54:42,506][clinicSoft][INFO][3508][passwd-> 123456]
[2016-07-26 08:54:42,506][clinicSoft][INFO][3508][## LoginService->login  ##]
[2016-07-26 08:54:42,506][clinicSoft][INFO][3508][## LoginDao-> valida_usuario  ##]
[2016-07-26 08:54:42,509][clinicSoft][INFO][3508][id_usuario-> 1]
[2016-07-26 08:54:42,510][clinicSoft][INFO][3508][## do_after_request ##]
[2016-07-26 08:54:42,582][clinicSoft][INFO][3508][## do_before_request ##]
[2016-07-26 08:54:42,582][clinicSoft][INFO][3508][## security_filter-> valida_token ##]
[2016-07-26 08:54:42,583][clinicSoft][INFO][3508][Token correcto...]
[2016-07-26 08:54:42,583][clinicSoft][INFO][3508][## do_after_request ##]
[2016-07-26 08:54:42,604][clinicSoft][INFO][3508][## do_before_request ##]
[2016-07-26 08:54:42,605][clinicSoft][INFO][3508][## security_filter-> valida_token ##]
[2016-07-26 08:54:42,605][clinicSoft][INFO][3508][Token correcto...]
[2016-07-26 08:54:42,606][clinicSoft][INFO][3508][##  llenar_combo_medicamento  ##]
[2016-07-26 08:54:42,606][clinicSoft][INFO][3508][## llenar_combo_medicamento ##]
[2016-07-26 08:54:42,606][clinicSoft][INFO][3508][## llenar_combo_medicamento  ##]
[2016-07-26 08:54:42,612][clinicSoft][INFO][3508][## do_after_request ##]
[2016-07-26 08:54:47,765][clinicSoft][INFO][3508][## do_before_request ##]
[2016-07-26 08:54:47,765][clinicSoft][INFO][3508][## security_filter-> valida_token ##]
[2016-07-26 08:54:47,766][clinicSoft][INFO][3508][Token correcto...]
[2016-07-26 08:54:47,766][clinicSoft][INFO][3508][## do_after_request ##]
[2016-07-26 08:54:47,777][clinicSoft][INFO][3508][## do_before_request ##]
[2016-07-26 08:54:47,778][clinicSoft][INFO][3508][## security_filter-> valida_token ##]
[2016-07-26 08:54:47,778][clinicSoft][INFO][3508][Token correcto...]
[2016-07-26 08:54:47,779][clinicSoft][INFO][3508][##  busca_medicament  ##]
[2016-07-26 08:54:47,779][clinicSoft][INFO][3508][## buscar_medicamento ##]
[2016-07-26 08:54:47,779][clinicSoft][INFO][3508][## consultar_medicamento  ##]
[2016-07-26 08:54:47,782][clinicSoft][INFO][3508][## do_after_request ##]
[2016-07-26 08:57:46,354][clinicSoft][INFO][4400][[OK] log4py]
[2016-07-26 08:57:46,440][clinicSoft][INFO][4400][## iniciando servidor clinicSoft  ##]
[2016-07-26 08:57:47,721][clinicSoft][INFO][6784][[OK] log4py]
[2016-07-26 08:57:47,807][clinicSoft][INFO][6784][## iniciando servidor clinicSoft  ##]
[2016-07-26 08:59:05,915][clinicSoft][INFO][6784][## do_before_request ##]
[2016-07-26 08:59:05,915][clinicSoft][INFO][6784][La expresion fallo o es un path sin configuracion, se deja continuar...]
[2016-07-26 08:59:05,916][clinicSoft][INFO][6784][## login_view  ##]
[2016-07-26 08:59:05,916][clinicSoft][INFO][6784][user-> root@gmail.com]
[2016-07-26 08:59:05,916][clinicSoft][INFO][6784][passwd-> 123456]
[2016-07-26 08:59:05,917][clinicSoft][INFO][6784][## LoginService->login  ##]
[2016-07-26 08:59:05,917][clinicSoft][INFO][6784][## LoginDao-> valida_usuario  ##]
[2016-07-26 08:59:05,919][clinicSoft][INFO][6784][id_usuario-> 1]
[2016-07-26 08:59:05,920][clinicSoft][INFO][6784][## do_after_request ##]
[2016-07-26 08:59:05,978][clinicSoft][INFO][6784][## do_before_request ##]
[2016-07-26 08:59:05,978][clinicSoft][INFO][6784][## security_filter-> valida_token ##]
[2016-07-26 08:59:05,979][clinicSoft][INFO][6784][Token correcto...]
[2016-07-26 08:59:05,980][clinicSoft][INFO][6784][## do_after_request ##]
[2016-07-26 08:59:05,986][clinicSoft][INFO][6784][## do_before_request ##]
[2016-07-26 08:59:05,987][clinicSoft][INFO][6784][## security_filter-> valida_token ##]
[2016-07-26 08:59:05,987][clinicSoft][INFO][6784][Token correcto...]
[2016-07-26 08:59:05,988][clinicSoft][INFO][6784][##  llenar_combo_medicamento  ##]
[2016-07-26 08:59:05,988][clinicSoft][INFO][6784][## llenar_combo_medicamento ##]
[2016-07-26 08:59:05,988][clinicSoft][INFO][6784][## llenar_combo_medicamento  ##]
[2016-07-26 08:59:05,992][clinicSoft][INFO][6784][## do_after_request ##]
[2016-07-26 08:59:10,099][clinicSoft][INFO][6784][## do_before_request ##]
[2016-07-26 08:59:10,100][clinicSoft][INFO][6784][## security_filter-> valida_token ##]
[2016-07-26 08:59:10,100][clinicSoft][INFO][6784][Token correcto...]
[2016-07-26 08:59:10,101][clinicSoft][INFO][6784][## do_after_request ##]
[2016-07-26 08:59:10,115][clinicSoft][INFO][6784][## do_before_request ##]
[2016-07-26 08:59:10,115][clinicSoft][INFO][6784][## security_filter-> valida_token ##]
[2016-07-26 08:59:10,116][clinicSoft][INFO][6784][Token correcto...]
[2016-07-26 08:59:10,116][clinicSoft][INFO][6784][##  busca_medicament  ##]
[2016-07-26 08:59:10,116][clinicSoft][INFO][6784][## buscar_medicamento ##]
[2016-07-26 08:59:10,117][clinicSoft][INFO][6784][## consultar_medicamento  ##]
